fEdep,runTime
54.2958,0.000000
194.119,0.000000
167.425,0.000000
895.016,0.000000
5.53575,13.071865
429.252,358.391957
120.028,7.097782
375.008,24.226591
1550.63,3.824018
114.273,38.544845
208.956,57.951534
194.989,3.573974
2083.26,14.651014
106.449,325.590112
984.789,73.640644
63.8719,22.703104
108.053,22.703104
591.165,408.287367
955.26,144.275140
25.5108,74.352447
1999.44,14.223363
652.732,14.462830
45.9091,68.497828
1490.66,159.558522
1048.84,14.166833
46.4481,150.304611
389.315,15.348620
165.963,16.114994
1643.6,16.973166
165.543,202.840350
46.7217,0.002374
498.213,13.951419
137.485,11.390865
2576.37,2.197467
138.789,66.194205
356.19,127.147171
591.009,35.090700
152.203,35.090700
69.8365,73.461932
286.962,42.160049
26.2214,144.159224
678.235,219.649911
400.297,5.395970
96.0163,160.241352
762.104,6.674732
57.0181,553.135124
824.285,156.325211
472.789,10.403601
928.744,5.963523
33.3432,96.568922
61.353,200.205306
1841.67,14.240156
896.768,13.951599
416.972,91.221851
227.546,91.221851
762.572,61.146134
57.4446,61.146134
225.087,85.480115
530.14,2.844852
112.268,16.915161
53.9593,48.193322
402.458,105.214389
37.4545,7.282157
63.704,5.276417
17.7556,36.579609
165.198,162.720437
10.5345,16.383353
884.867,16.383353
561.058,9.290995
65.2727,71.301940
31.8015,166.172891
3.3208,43.266559
33.5486,58.887333
2202.78,5.305478
40.7102,154.297707
7.67762,77.522151
1182.75,221.538998
89.7679,83.606974
41.6471,237.205494
169.808,17.194208
312.238,43.826433
735.196,51.194043
1321.25,34.473895
108.501,7.598145
223.301,48.321708
166.914,48.321708
165.768,1.313367
33.2295,4.216776
99.5553,109.685496
55.3039,72.828471
401.585,72.828471
69.7134,17.420326
112.717,61.140760
1104.27,171.123480
125.135,31.674247
180.353,134.643500
33.892,134.643500
319.751,209.421663
117.871,209.421663
165.975,397.650454
3092.79,18.005481
1345.01,225.619404
493.373,67.559424
740.044,34.579485
110.829,34.579485
1490.81,29.879453
57.1316,29.879453
1357.19,19.213018
72.3057,118.421094
52.5697,118.421094
812.207,93.394329
44.2576,93.394329
214.521,78.527139
1273.4,23.339854
69.1723,186.807414
74.4645,35.297324
851.979,25.450092
1758.93,114.618470
142.041,6.270212
91.6749,161.354492
92.398,53.850492
200.696,65.271726
31.7015,12.023124
1002.72,239.498418
128.434,102.181448
1301.24,13.928560
221.535,47.129029
24.8073,47.129029
227.485,32.539708
831.276,259.511731
11.9124,496.137656
197.27,19.440385
27.733,17.016602
166.366,43.080308
174.939,28.263697
153.226,92.064027
96.6431,92.064027
129.22,45.213144
708.433,709.005342
1084.18,530.981398
659.293,96.364800
787.269,90.762231
324.069,110.370333
914.326,28.564082
19.7516,20.590455
45.0989,20.590455
1627.97,2.344753
495.941,1.663476
31.4273,1.663476
414.865,25.536633
3240.07,40.006130
488.814,118.820089
71.6636,118.820089
154.28,142.580879
39.0688,46.354429
190.86,223.220666
80.725,388.666862
91.427,202.544684
2296.75,2.157278
112.918,96.140889
1056.73,96.140889
102.9,4.060154
507.02,149.985576
288.076,73.075450
1669.5,21.592258
44.0018,0.749788
846.167,55.055723
112.08,3.848506
53.7895,9.250699
940.205,5.993363
254.658,184.449822
61.4101,26.848972
33.1722,48.773701
1939.48,16.738000
474.75,217.934823
41.0155,375.614253
379.286,375.614253
516.894,201.675306
93.4041,201.675306
39.1887,201.675306
141.373,358.310805
264.987,102.740856
33.9524,102.740856
77.7467,0.133603
222.319,210.474589
576.654,11.894377
160.266,11.894377
96.369,82.115769
29.9778,30.149852
42.7539,30.149852
483.088,30.149852
1119.8,116.881469
23.2562,29.010683
895.638,1.004611
141.299,129.628615
1447.8,3.434344
40.7076,22.949867
89.6902,22.949867
249.204,431.844446
1784.03,2.304096
1361.62,127.327678
180.758,127.327678
113.739,86.830798
64.0044,111.378562
108.253,64.502776
110.814,163.458736
17.5571,200.222818
564.681,35.496161
1390.79,203.914007
89.5226,80.223854
165.853,80.223854
98.4503,80.223854
223.065,33.709355
262.509,48.041877
456.329,114.397031
50.3861,177.819259
56.5744,177.819259
691.142,239.770345
37.1196,106.075547
137.576,169.896929
